City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
325,Levokumskoye,44.8219,44.6606,48.72,73,100,3.62,RU,2021-04-11 22:33:04,overcast clouds
326,Kazachinskoye,57.6953,93.2761,33.94,88,100,4.88,RU,2021-04-11 22:33:05,overcast clouds
327,Waingapu,-9.6567,120.2641,77.18,81,70,4.09,ID,2021-04-11 22:33:06,broken clouds
328,Egvekinot,66.3167,-179.1667,-2.15,74,100,19.64,RU,2021-04-11 22:33:07,overcast clouds
329,Benguela,-12.5763,13.4055,81.48,81,72,2.48,AO,2021-04-11 22:29:16,broken clouds
330,Scarborough,54.2797,-0.4044,32.0,80,69,7.76,GB,2021-04-11 22:33:07,broken clouds
331,Matara,5.9485,80.5353,76.23,87,85,2.37,LK,2021-04-11 22:30:06,overcast clouds
332,Lompoc,34.6391,-120.4579,62.6,55,86,14.97,US,2021-04-11 22:32:59,overcast clouds
333,Gravdal,68.1214,13.5031,36.0,64,100,11.86,NO,2021-04-11 22:33:08,overcast clouds
334,Srednekolymsk,67.45,153.6833,-11.99,93,95,2.93,RU,2021-04-11 22:28:36,overcast clouds
335,Cuitlahuac,18.8167,-96.7167,86.0,62,1,12.66,MX,2021-04-11 22:33:08,clear sky
336,Ribas Do Rio Pardo,-20.4431,-53.7592,83.93,36,55,3.85,BR,2021-04-11 22:33:08,broken clouds
337,Hobyo,5.3505,48.5268,81.99,62,39,11.41,SO,2021-04-11 22:28:47,scattered clouds
338,Jyvaskyla,62.2415,25.7209,30.99,80,0,1.14,FI,2021-04-11 22:33:09,clear sky
339,Okhotsk,59.3833,143.3,19.53,78,100,13.71,RU,2021-04-11 22:32:10,light snow
340,Sitka,57.0531,-135.33,39.2,75,90,3.44,US,2021-04-11 22:33:09,light snow
341,La Malbaie,47.6575,-70.1559,48.99,70,66,12.66,CA,2021-04-11 22:32:27,broken clouds
